,,,
Brand,Model,Device Type,Metric
FitBit,Lunar,FitnessBand,sleep_duration
FitBit,Lunar,FitnessBand,sleep_stages
FitBit,Lunar,FitnessBand,sleep_score
FitBit,Lunar,FitnessBand,hourly_activity
FitBit,Lunar,FitnessBand,water_intake
FitBit,Lunar,FitnessBand,weight
FitBit,Lunar,FitnessBand,temperature
FitBit,Lunar,FitnessBand,GPS
FitBit,Lunar,FitnessBand,pace
FitBit,Lunar,FitnessBand,elevation
FitBit,Lunar,FitnessBand,stress
FitBit,FB413LVLV,FitnessBand,steps
FitBit,FB413LVLV,FitnessBand,heart_rate
FitBit,FB413LVLV,FitnessBand,heart_rate_zones
FitBit,FB413LVLV,FitnessBand,active_zone_minutes
FitBit,FB413LVLV,FitnessBand,calories
FitBit,FB413LVLV,FitnessBand,floors
FitBit,FB413LVLV,FitnessBand,distance
FitBit,FB413LVLV,FitnessBand,sleep_duration
FitBit,FB413LVLV,FitnessBand,sleep_stages
FitBit,FB413LVLV,FitnessBand,sleep_score
FitBit,FB413LVLV,FitnessBand,hourly_activity
FitBit,FB413LVLV,FitnessBand,water_intake
FitBit,FB413LVLV,FitnessBand,weight
FitBit,FB413LVLV,FitnessBand,temperature
FitBit,FB413LVLV,FitnessBand,GPS
FitBit,FB413LVLV,FitnessBand,pace
FitBit,FB413LVLV,FitnessBand,elevation
FitBit,FB413LVLV,FitnessBand,stress
FitBit,Flex Small,FitnessBand,steps
FitBit,Flex Small,FitnessBand,heart_rate
FitBit,Flex Small,FitnessBand,heart_rate_zones
FitBit,Flex Small,FitnessBand,active_zone_minutes
FitBit,Flex Small,FitnessBand,calories
FitBit,Flex Small,FitnessBand,floors
FitBit,Flex Small,FitnessBand,distance
FitBit,Flex Small,FitnessBand,sleep_duration
FitBit,Flex Small,FitnessBand,sleep_stages
FitBit,Flex Small,FitnessBand,sleep_score
FitBit,Flex Small,FitnessBand,hourly_activity
FitBit,Flex Small,FitnessBand,water_intake
FitBit,Flex Small,FitnessBand,weight
FitBit,Flex Small,FitnessBand,temperature
FitBit,Flex Small,FitnessBand,GPS
FitBit,Flex Small,FitnessBand,pace
FitBit,Flex Small,FitnessBand,elevation
FitBit,Flex Small,FitnessBand,stress
FitBit,Inspire HR,FitnessBand,steps
FitBit,Inspire HR,FitnessBand,heart_rate
FitBit,Inspire HR,FitnessBand,heart_rate_zones
FitBit,Inspire HR,FitnessBand,active_zone_minutes
FitBit,Inspire HR,FitnessBand,calories
FitBit,Inspire HR,FitnessBand,floors
FitBit,Inspire HR,FitnessBand,distance
FitBit,Inspire HR,FitnessBand,sleep_duration
FitBit,Inspire HR,FitnessBand,sleep_stages
FitBit,Inspire HR,FitnessBand,sleep_score
FitBit,Inspire HR,FitnessBand,hourly_activity
FitBit,Inspire HR,FitnessBand,water_intake
FitBit,Inspire HR,FitnessBand,weight
FitBit,Inspire HR,FitnessBand,temperature
FitBit,Inspire HR,FitnessBand,GPS
FitBit,Inspire HR,FitnessBand,pace
FitBit,Inspire HR,FitnessBand,elevation
FitBit,Inspire HR,FitnessBand,stress
FitBit,Charge 3,FitnessBand,steps
FitBit,Charge 3,FitnessBand,heart_rate
FitBit,Charge 3,FitnessBand,heart_rate_zones
FitBit,Charge 3,FitnessBand,active_zone_minutes
FitBit,Charge 3,FitnessBand,calories
FitBit,Charge 3,FitnessBand,floors
FitBit,Charge 3,FitnessBand,distance
FitBit,Charge 3,FitnessBand,sleep_duration
FitBit,Charge 3,FitnessBand,sleep_stages
FitBit,Charge 3,FitnessBand,sleep_score
FitBit,Charge 3,FitnessBand,hourly_activity
FitBit,Charge 3,FitnessBand,water_intake
FitBit,Charge 3,FitnessBand,weight
FitBit,Charge 3,FitnessBand,temperature
FitBit,Charge 3,FitnessBand,GPS
FitBit,Charge 3,FitnessBand,pace
FitBit,Charge 3,FitnessBand,elevation
FitBit,Charge 3,FitnessBand,stress
FitBit,Versa Special Edition,Smartwatch,steps
FitBit,Versa Special Edition,Smartwatch,heart_rate
FitBit,Versa Special Edition,Smartwatch,heart_rate_zones
FitBit,Versa Special Edition,Smartwatch,active_zone_minutes
FitBit,Versa Special Edition,Smartwatch,calories
FitBit,Versa Special Edition,Smartwatch,floors
FitBit,Versa Special Edition,Smartwatch,distance
FitBit,Versa Special Edition,Smartwatch,sleep_duration
FitBit,Versa Special Edition,Smartwatch,sleep_stages
FitBit,Versa Special Edition,Smartwatch,sleep_score
FitBit,Versa Special Edition,Smartwatch,hourly_activity
FitBit,Versa Special Edition,Smartwatch,water_intake
FitBit,Versa Special Edition,Smartwatch,weight
FitBit,Versa Special Edition,Smartwatch,temperature
FitBit,Versa Special Edition,Smartwatch,GPS
FitBit,Versa Special Edition,Smartwatch,pace
FitBit,Versa Special Edition,Smartwatch,elevation
FitBit,Versa Special Edition,Smartwatch,stress
FitBit,Ionic,Smartwatch,steps
FitBit,Ionic,Smartwatch,heart_rate
FitBit,Ionic,Smartwatch,heart_rate_zones
FitBit,Ionic,Smartwatch,active_zone_minutes
FitBit,Ionic,Smartwatch,calories
FitBit,Ionic,Smartwatch,floors
FitBit,Ionic,Smartwatch,distance
FitBit,Ionic,Smartwatch,sleep_duration
FitBit,Ionic,Smartwatch,sleep_stages
FitBit,Ionic,Smartwatch,sleep_score
FitBit,Ionic,Smartwatch,hourly_activity
FitBit,Ionic,Smartwatch,water_intake
FitBit,Ionic,Smartwatch,weight
FitBit,Ionic,Smartwatch,temperature
FitBit,Ionic,Smartwatch,GPS
FitBit,Ionic,Smartwatch,pace
FitBit,Ionic,Smartwatch,elevation
FitBit,Ionic,Smartwatch,stress
FitBit,Versa 2 Special Edition,Smartwatch,steps
FitBit,Versa 2 Special Edition,Smartwatch,heart_rate
FitBit,Versa 2 Special Edition,Smartwatch,heart_rate_zones
FitBit,Versa 2 Special Edition,Smartwatch,active_zone_minutes
FitBit,Versa 2 Special Edition,Smartwatch,calories
FitBit,Versa 2 Special Edition,Smartwatch,floors
FitBit,Versa 2 Special Edition,Smartwatch,distance
FitBit,Versa 2 Special Edition,Smartwatch,sleep_duration
FitBit,Versa 2 Special Edition,Smartwatch,sleep_stages
FitBit,Versa 2 Special Edition,Smartwatch,sleep_score
FitBit,Versa 2 Special Edition,Smartwatch,hourly_activity
FitBit,Versa 2 Special Edition,Smartwatch,water_intake
FitBit,Versa 2 Special Edition,Smartwatch,weight
FitBit,Versa 2 Special Edition,Smartwatch,temperature
FitBit,Versa 2 Special Edition,Smartwatch,GPS
FitBit,Versa 2 Special Edition,Smartwatch,pace
FitBit,Versa 2 Special Edition,Smartwatch,elevation
FitBit,Versa 2 Special Edition,Smartwatch,stress
FitBit,Versa,Smartwatch,steps
FitBit,Versa,Smartwatch,heart_rate
FitBit,Versa,Smartwatch,heart_rate_zones
FitBit,Versa,Smartwatch,active_zone_minutes
FitBit,Versa,Smartwatch,calories
FitBit,Versa,Smartwatch,floors
FitBit,Versa,Smartwatch,distance
FitBit,Versa,Smartwatch,sleep_duration
FitBit,Versa,Smartwatch,sleep_stages
FitBit,Versa,Smartwatch,sleep_score
FitBit,Versa,Smartwatch,hourly_activity
FitBit,Versa,Smartwatch,water_intake
FitBit,Versa,Smartwatch,weight
FitBit,Versa,Smartwatch,temperature
FitBit,Versa,Smartwatch,GPS
FitBit,Versa,Smartwatch,pace
FitBit,Versa,Smartwatch,elevation
FitBit,Versa,Smartwatch,stress
FitBit,Surge,Smartwatch,steps
FitBit,Surge,Smartwatch,heart_rate
FitBit,Surge,Smartwatch,heart_rate_zones
FitBit,Surge,Smartwatch,active_zone_minutes
FitBit,Surge,Smartwatch,calories
FitBit,Surge,Smartwatch,floors
FitBit,Surge,Smartwatch,distance
FitBit,Surge,Smartwatch,sleep_duration
FitBit,Surge,Smartwatch,sleep_stages
FitBit,Surge,Smartwatch,sleep_score
FitBit,Surge,Smartwatch,hourly_activity
FitBit,Surge,Smartwatch,water_intake
FitBit,Surge,Smartwatch,weight
FitBit,Surge,Smartwatch,temperature
FitBit,Surge,Smartwatch,GPS
FitBit,Surge,Smartwatch,pace
FitBit,Surge,Smartwatch,elevation
FitBit,Surge,Smartwatch,stress
FitBit,Charge 2,FitnessBand,steps
FitBit,Charge 2,FitnessBand,heart_rate
FitBit,Charge 2,FitnessBand,heart_rate_zones
FitBit,Charge 2,FitnessBand,active_zone_minutes
FitBit,Charge 2,FitnessBand,calories
FitBit,Charge 2,FitnessBand,floors
FitBit,Charge 2,FitnessBand,distance
FitBit,Charge 2,FitnessBand,sleep_duration
FitBit,Charge 2,FitnessBand,sleep_stages
FitBit,Charge 2,FitnessBand,sleep_score
FitBit,Charge 2,FitnessBand,hourly_activity
FitBit,Charge 2,FitnessBand,water_intake
FitBit,Charge 2,FitnessBand,weight
FitBit,Charge 2,FitnessBand,temperature
FitBit,Charge 2,FitnessBand,GPS
FitBit,Charge 2,FitnessBand,pace
FitBit,Charge 2,FitnessBand,elevation
FitBit,Charge 2,FitnessBand,stress
FitBit,Charge 3 Special Edition,FitnessBand,steps
FitBit,Charge 3 Special Edition,FitnessBand,heart_rate
FitBit,Charge 3 Special Edition,FitnessBand,heart_rate_zones
FitBit,Charge 3 Special Edition,FitnessBand,active_zone_minutes
FitBit,Charge 3 Special Edition,FitnessBand,calories
FitBit,Charge 3 Special Edition,FitnessBand,floors
FitBit,Charge 3 Special Edition,FitnessBand,distance
FitBit,Charge 3 Special Edition,FitnessBand,sleep_duration
FitBit,Charge 3 Special Edition,FitnessBand,sleep_stages
FitBit,Charge 3 Special Edition,FitnessBand,sleep_score
FitBit,Charge 3 Special Edition,FitnessBand,hourly_activity
FitBit,Charge 3 Special Edition,FitnessBand,water_intake
FitBit,Charge 3 Special Edition,FitnessBand,weight
FitBit,Charge 3 Special Edition,FitnessBand,temperature
FitBit,Charge 3 Special Edition,FitnessBand,GPS
FitBit,Charge 3 Special Edition,FitnessBand,pace
FitBit,Charge 3 Special Edition,FitnessBand,elevation
FitBit,Charge 3 Special Edition,FitnessBand,stress
FitBit,Blaze,Smartwatch,steps
FitBit,Blaze,Smartwatch,heart_rate
FitBit,Blaze,Smartwatch,heart_rate_zones
FitBit,Blaze,Smartwatch,active_zone_minutes
FitBit,Blaze,Smartwatch,calories
FitBit,Blaze,Smartwatch,floors
FitBit,Blaze,Smartwatch,distance
FitBit,Blaze,Smartwatch,sleep_duration
FitBit,Blaze,Smartwatch,sleep_stages
FitBit,Blaze,Smartwatch,sleep_score
FitBit,Blaze,Smartwatch,hourly_activity
FitBit,Blaze,Smartwatch,water_intake
FitBit,Blaze,Smartwatch,weight
FitBit,Blaze,Smartwatch,temperature
FitBit,Blaze,Smartwatch,GPS
FitBit,Blaze,Smartwatch,pace
FitBit,Blaze,Smartwatch,elevation
FitBit,Blaze,Smartwatch,stress
FitBit,Alta HR,FitnessBand,steps
FitBit,Alta HR,FitnessBand,heart_rate
FitBit,Alta HR,FitnessBand,heart_rate_zones
FitBit,Alta HR,FitnessBand,active_zone_minutes
FitBit,Alta HR,FitnessBand,calories
FitBit,Alta HR,FitnessBand,floors
FitBit,Alta HR,FitnessBand,distance
FitBit,Alta HR,FitnessBand,sleep_duration
FitBit,Alta HR,FitnessBand,sleep_stages
FitBit,Alta HR,FitnessBand,sleep_score
FitBit,Alta HR,FitnessBand,hourly_activity
FitBit,Alta HR,FitnessBand,water_intake
FitBit,Alta HR,FitnessBand,weight
FitBit,Alta HR,FitnessBand,temperature
FitBit,Alta HR,FitnessBand,GPS
FitBit,Alta HR,FitnessBand,pace
FitBit,Alta HR,FitnessBand,elevation
FitBit,Alta HR,FitnessBand,stress
FitBit,Versa Lite Edition,Smartwatch,steps
FitBit,Versa Lite Edition,Smartwatch,heart_rate
FitBit,Versa Lite Edition,Smartwatch,heart_rate_zones
FitBit,Versa Lite Edition,Smartwatch,active_zone_minutes
FitBit,Versa Lite Edition,Smartwatch,calories
FitBit,Versa Lite Edition,Smartwatch,floors
FitBit,Versa Lite Edition,Smartwatch,distance
FitBit,Versa Lite Edition,Smartwatch,sleep_duration
FitBit,Versa Lite Edition,Smartwatch,sleep_stages
FitBit,Versa Lite Edition,Smartwatch,sleep_score
FitBit,Versa Lite Edition,Smartwatch,hourly_activity
FitBit,Versa Lite Edition,Smartwatch,water_intake
FitBit,Versa Lite Edition,Smartwatch,weight
FitBit,Versa Lite Edition,Smartwatch,temperature
FitBit,Versa Lite Edition,Smartwatch,GPS
FitBit,Versa Lite Edition,Smartwatch,pace
FitBit,Versa Lite Edition,Smartwatch,elevation
FitBit,Versa Lite Edition,Smartwatch,stress
FitBit,versa,Smartwatch,steps
FitBit,versa,Smartwatch,heart_rate
FitBit,versa,Smartwatch,heart_rate_zones
FitBit,versa,Smartwatch,active_zone_minutes
FitBit,versa,Smartwatch,calories
FitBit,versa,Smartwatch,floors
FitBit,versa,Smartwatch,distance
FitBit,versa,Smartwatch,sleep_duration
FitBit,versa,Smartwatch,sleep_stages
FitBit,versa,Smartwatch,sleep_score
FitBit,versa,Smartwatch,hourly_activity
FitBit,versa,Smartwatch,water_intake
FitBit,versa,Smartwatch,weight
FitBit,versa,Smartwatch,temperature
FitBit,versa,Smartwatch,GPS
FitBit,versa,Smartwatch,pace
FitBit,versa,Smartwatch,elevation
FitBit,versa,Smartwatch,stress
FitBit,Charge HR,FitnessBand,steps
FitBit,Charge HR,FitnessBand,heart_rate
FitBit,Charge HR,FitnessBand,heart_rate_zones
FitBit,Charge HR,FitnessBand,active_zone_minutes
FitBit,Charge HR,FitnessBand,calories
FitBit,Charge HR,FitnessBand,floors
FitBit,Charge HR,FitnessBand,distance
FitBit,Charge HR,FitnessBand,sleep_duration
FitBit,Charge HR,FitnessBand,sleep_stages
FitBit,Charge HR,FitnessBand,sleep_score
FitBit,Charge HR,FitnessBand,hourly_activity
FitBit,Charge HR,FitnessBand,water_intake
FitBit,Charge HR,FitnessBand,weight
FitBit,Charge HR,FitnessBand,temperature
FitBit,Charge HR,FitnessBand,GPS
FitBit,Charge HR,FitnessBand,pace
FitBit,Charge HR,FitnessBand,elevation
FitBit,Charge HR,FitnessBand,stress
FitBit,Alta,FitnessBand,steps
FitBit,Alta,FitnessBand,heart_rate
FitBit,Alta,FitnessBand,heart_rate_zones
FitBit,Alta,FitnessBand,active_zone_minutes
FitBit,Alta,FitnessBand,calories
FitBit,Alta,FitnessBand,floors
FitBit,Alta,FitnessBand,distance
FitBit,Alta,FitnessBand,sleep_duration
FitBit,Alta,FitnessBand,sleep_stages
FitBit,Alta,FitnessBand,sleep_score
FitBit,Alta,FitnessBand,hourly_activity
FitBit,Alta,FitnessBand,water_intake
FitBit,Alta,FitnessBand,weight
FitBit,Alta,FitnessBand,temperature
FitBit,Alta,FitnessBand,GPS
FitBit,Alta,FitnessBand,pace
FitBit,Alta,FitnessBand,elevation
FitBit,Alta,FitnessBand,stress
realme,Band 2,FitnessBand,steps
realme,Band 2,FitnessBand,heart_rate
realme,Band 2,FitnessBand,stress
realme,Band 2,FitnessBand,sleep_tracking
realme,Band,FitnessBand,steps
realme,Band,FitnessBand,heart_rate
realme,Band,FitnessBand,stress
realme,Band,FitnessBand,sleep_tracking
realme,Smart band,FitnessBand,steps
realme,Smart band,FitnessBand,heart_rate
realme,Smart band,FitnessBand,stress
realme,Smart band,FitnessBand,sleep_tracking
Huawei,Band 4,FitnessBand,steps
Huawei,Band 4,FitnessBand,heart_rate
Huawei,Band 4,FitnessBand,sleep_tracking
Huawei,Band 4,FitnessBand,GPS
Huawei,Band 4,FitnessBand,stride_length
Huawei,Band 4,FitnessBand,cadence
Huawei,Band 4,FitnessBand,fall_detection
Huawei,Band 2,FitnessBand,steps
Huawei,Band 2,FitnessBand,heart_rate
Huawei,Band 2,FitnessBand,sleep_tracking
Huawei,Band 2,FitnessBand,GPS
Huawei,Band 2,FitnessBand,stride_length
Huawei,Band 2,FitnessBand,cadence
Huawei,Band 2,FitnessBand,fall_detection
Huawei,Band 6,FitnessBand,steps
Huawei,Band 6,FitnessBand,heart_rate
Huawei,Band 6,FitnessBand,sleep_tracking
Huawei,Band 6,FitnessBand,GPS
Huawei,Band 6,FitnessBand,stride_length
Huawei,Band 6,FitnessBand,cadence
Huawei,Band 6,FitnessBand,fall_detection
Huawei,Band 2 Pro Activity,FitnessBand,steps
Huawei,Band 2 Pro Activity,FitnessBand,heart_rate
Huawei,Band 2 Pro Activity,FitnessBand,sleep_tracking
Huawei,Band 2 Pro Activity,FitnessBand,GPS
Huawei,Band 2 Pro Activity,FitnessBand,stride_length
Huawei,Band 2 Pro Activity,FitnessBand,cadence
Huawei,Band 2 Pro Activity,FitnessBand,fall_detection
Honor,Band 6,FitnessBand,steps
Honor,Band 6,FitnessBand,heart_rate
Honor,Band 6,FitnessBand,sleep_tracking
Honor,Band 4,FitnessBand,steps
Honor,Band 4,FitnessBand,heart_rate
Honor,Band 4,FitnessBand,sleep_tracking
Honor,Band 3,FitnessBand,steps
Honor,Band 3,FitnessBand,heart_rate
Honor,Band 3,FitnessBand,sleep_tracking
Honor,Band 5i,FitnessBand,steps
Honor,Band 5i,FitnessBand,heart_rate
Honor,Band 5i,FitnessBand,sleep_tracking
Honor,Band 5,FitnessBand,steps
Honor,Band 5,FitnessBand,heart_rate
Honor,Band 5,FitnessBand,sleep_tracking
Honor,band 4 running,FitnessBand,steps
Honor,band 4 running,FitnessBand,heart_rate
Honor,band 4 running,FitnessBand,sleep_tracking
Honor,Band Z1,FitnessBand,steps
Honor,Band Z1,FitnessBand,heart_rate
Honor,Band Z1,FitnessBand,sleep_tracking
GOQii,Beat,FitnessBand,steps
